Ticker,Outstanding_Shares,Price
AAPL,15818580614,166.41
MSFT,7441211154,288.32
GOOGL,12843621399,104.49
AMZN,10256472887,102.35
NVDA,2469734795,276.39
TSLA,3168287412,185.10
META,2565119692,218.06
AVGO,416914017,630.01
PEP,1377077581,184.71
ASML,394651489,641.30
AZN,3099226460,74.98
COST,443388055,496.45
CSCO,4096280088,50.27
TMUS,1205085536,150.23
ADBE,458581369,377.97
TXN,906944521,180.43
CMCSA,4206481965,38.26
NFLX,445249331,332.69
AMD,1611191456,89.89
SNY,2497468354,55.30
INTC,4171015404,31.81
QCOM,1114887142,118.29
AMGN,533893830,246.21
HON,665700925,196.74
INTU,280470163,442.40
SBUX,1149494575,107.83
GILD,1248326160,83.64
BKNG,50820000000,2700.15
MDLZ,1363313945,70.49
ADI,505859375,189.44
ISRG,350197011,269.02
AMAT,845047636,111.26
ADP,414284401,217.58
PDD,1263659647,70.28
REGN,107476057,808.18
PYPL,1122827649,76.53
VRTX,257685325,324.97
ABNB,631401901,118.91
FISV,623114293,117.33
CME,359741141,191.61
JD,1819580791,37.69
MU,1094415752,61.96
ATVI,784254176,85.61
LRCX,134868886,495.37
MELI,66510000000,1321.16
EQIX,93541581,706.21
CSX,2048355263,30.40
NTES,656557998,92.33
PANW,302524369,200.05
CDNS,273160922,213.83
SNPS,152272787,380.37
ORLY,61823581,909.20
MRNA,385072748,142.96
MNST,1044832827,52.64
MAR,309111880,173.40
FTNT,783313679,67.84
CHTR,152654803,342.21
KLAC,138404293,370.87
WDAY,258959418,193.93
KDP,1406329472,35.39
KHC,1226788432,39.42
AEP,514328972,92.47
LULU,127137986,372.43
CTAS,101689755,459.83
DXCM,386336867,118.86
BIDU,349391172,131.40
NXPI,259800853,175.75
MCHP,547772277,80.80
EXC,994391213,42.79
ADSK,214821193,197.42
BIIB,144475148,293.13
TEAM,256014274,162.53
IDXX,82899836,482.51
PAYX,360417239,109.29
XEL,550107527,69.75
SGEN,187121951,205.00
PCAR,522173556,73.06
GEHC,453925323,83.56
ODFL,110022168,342.84
CPRT,476509203,77.69
MBLY,800738007,46.07
MRVL,857617466,42.14
ILMN,157915498,228.16
GFS,545314664,64.99
ROST,341922409,103.62
EA,274242307,129.01
IBKR,416617560,84.85
WBD,2432773109,14.28
ON,431528461,79.23
DLTR,221269756,149.32
CRWD,235794413,136.39
ENPH,136917280,228.24
CTSH,509418509,61.05
FAST,571109872,53.79
WBA,862204724,35.56
VOD,2698412698,11.34
TTD,487761675,62.10
BKR,1010832769,29.54
VRSK,154698995,193.02
BNTX,240978544,123.04
SBAC,108244298,263.94
CSGP,406883748,70.02
BGNE,104663795,266.95
CCEP,458183011,60.98
ANSS,86784826,321.60
NDAQ,488777159,55.69
ULTA,50174576,541.31
GMAB,652215800,41.52
ACGL,372443339,72.36
TSCO,109836266,244.91
ALGN,76666667,348.00
FANG,183546492,144.65
CDW,135136555,190.40
HZNP,228438645,111.89
TROW,224511358,113.58
WTW,106458779,238.59
ALNY,124174897,201.49
LI,976087809,25.51
TCOM,646076352,37.72
CEG,327505044,74.35
EBAY,536751361,44.08
FSLR,106781053,219.14
VRSN,104301520,217.83
MPWR,47313367,475.13
DDOG,319805659,69.98
PODD,69551970,321.63
RYAAY,227872911,96.94
TTWO,168530287,124.31
ARGX,55557033,376.01
HOLX,246638401,82.55
ZM,293663748,67.39
PFG,242997925,77.12
IEP,353446630,52.37
FITB,681063123,27.09
BMRN,186490604,98.45
STLD,170521037,107.67
JBHT,103647712,174.63
ERIC,3324074074,5.40
NTRS,207804310,85.85
SEDG,56113427,316.68
SWKS,159115523,110.80
FOXA,515312132,33.96
ICLR,81691990,213.24
EXPD,154445340,111.69
FWONA,256861575,67.04
CINF,157157436,107.79
HBAN,1449137931,11.60
TW,231236203,72.48
CHKP,125348820,132.59
AXON,72838636,226.94
INCY,222885033,73.76
MDB,70031793,229.61
LPLA,78638440,203.59
RPRX,443235704,35.85
WMG,515584416,30.80
HTHT,318218460,49.62
SYM,555358410,28.18
COIN,231305638,67.40
TER,156055433,99.58
ZBRA,51356203,300.84
SPLK,165459851,92.53
PTC,118138518,128.07
LKQ,267279477,56.57
SIRI,3886597938,3.88
ZS,145049218,103.62
BZ,829646018,18.08
AZPN,64718615,231.00
EXPE,153380002,95.71
FCNCA,14630000000,1017.64
NTAP,213939127,68.01
SSNC,249480969,57.80
PARA,654761905,21.84
LCID,1832051282,7.80
UAL,328389340,43.15
EVRG,229497569,61.70
NICE,63582758,218.77
LNT,251151649,54.27
GLPI,262333140,51.69
STX,206477733,64.22
POOL,38993119,340.06
TECH,157288699,84.24
LSCC,137584602,94.56
AKAM,156250000,82.88
WYNN,113745766,112.18
ETSY,124560031,102.28
MKTX,37636800,337.17
BSY,290470723,43.55
ERIE,52269888,240.10
OKTA,161331791,77.79
NDSN,57221081,219.15
RIVN,918777943,13.42
