Ticker,Outstanding_Shares,Price
AAPL,17253317000,145.82
GOOGL,294960500,2693.14
AMZN,490942500,3456.08
MSFT,7730298000,266.71
FB,2375821000,358.32
TSLA,191665000,819.47
NVDA,363200000,233.91
JPM,2900000000,150.56
JNJ,2666700000,179.22
V,2000000000,238.45
NFLX,472100000,530.49
PYPL,1234500000,253.67
PG,2100000000,144.90
DIS,1800000000,166.23
T,2730000000,28.51
VZ,4160000000,54.72
INTC,4100000000,63.25
AMD,1300000000,92.47
CSCO,4290000000,52.34
ORCL,4000000000,81.12
PEP,1500000000,141.86
KO,4500000000,56.92
MCD,1200000000,254.10
WMT,2300000000,151.08
XOM,3100000000,63.79
CVX,2200000000,120.25
PFE,5300000000,43.67
MRK,2000000000,76.95
UNH,800000000,423.67
BAC,2400000000,39.28
GS,950000000,414.20
TGT,700000000,267.15
HD,1000000000,318.27
LOW,800000000,207.34
WBA,1500000000,46.08
CVS,700000000,89.77
ABT,1800000000,126.54
MDT,1200000000,114.90
GOOG,500000000,2765.39
IBM,1500000000,122.90
AAP,900000000,193.56
GE,4500000000,14.28
AAL,650000000,18.34
UAL,450000000,48.90
DAL,750000000,32.67
AMC,250000000,5.89
GME,300000000,220.45
BB,400000000,10.67
NOK,500000000,5.67
BBBY,200000000,12.45
F,1500000000,16.78
GM,800000000,53.90
TSLX,350000000,24.56
SQ,400000000,189.76
UBER,600000000,43.67
LYFT,400000000,67.45
ZM,350000000,286.90
DOCU,250000000,191.34
SNAP,300000000,58.76
PINS,500000000,40.23
NET,350000000,136.90
CRWD,200000000,228.34
ZS,250000000,106.78
